iso,pais,anio,pib_per_capita,exportaciones_pc,exportaciones_usd,poblacion,inflacion
CRI,Costa Rica,1993,2840.38709085425,36.0372233840502,3446894130.86212,3367434,9.77860078293777
CRI,Costa Rica,1994,3039.56331706225,35.8846600988984,3764266335.49866,3451122,13.5344687273427
CRI,Costa Rica,1995,3275.25258510331,38.129215151633304,4414827144.6863,3535176,23.1864981102567
CRI,Costa Rica,1996,3226.96401664833,40.0119906390072,4672770208.46372,3619013,17.5114524814591
CRI,Costa Rica,1997,3407.77611260904,41.6090689095827,5248818572.65692,3701711,13.2480440791191
CRI,Costa Rica,1998,3617.45758013205,43.962841620481,6015987791.12718,3782838,11.6592997742233
CRI,Costa Rica,1999,3690.9615476017,42.5578652733022,6066566788.01456,3862101,10.0452817292494
CRI,Costa Rica,2000,3812.75386183689,42.9303224591994,6445399591.1613,3937739,10.9615496593622
CRI,Costa Rica,2001,3985.12987980056,40.5085719500705,6471720132.57518,4008947,11.2556157091172
CRI,Costa Rica,2002,4067.71854177094,39.2245350275681,6502965371.57468,4075705,9.16752048509119
CRI,Costa Rica,2003,4173.14853766977,40.6717129761414,7024720814.72934,4138784,9.44758091616984
CRI,Costa Rica,2004,4431.01172024063,42.2076544521738,7855095563.21787,4200078,12.3148150178852
CRI,Costa Rica,2005,4703.00720463794,43.464522824224,8710569599.06253,4261240,13.7982949108987
CRI,Costa Rica,2006,5256.59641275583,43.3140350907406,9839017114.91442,4321340,11.4705968149052
CRI,Costa Rica,2007,6137.71199435022,40.5821371736585,10910386111.8621,4380248,9.35724456417157
CRI,Costa Rica,2008,6937.24261660254,38.8064601026245,11953067157.2637,4440056,13.4244635507284
CRI,Costa Rica,2009,6832.69828187486,34.6323048229081,10647949473.6709,4499791,7.84270167700654
CRI,Costa Rica,2010,8265.78820580299,32.8294112720049,12363102243.0143,4555962,5.66275708420021
CRI,Costa Rica,2011,9276.39109377477,32.4724707460503,13886077251.5771,4609833,4.87799830970702
CRI,Costa Rica,2012,10126.9991155066,31.6513172644756,14949441129.2843,4663934,4.49545314354605
CRI,Costa Rica,2013,10803.2401795009,30.5916494074101,15586344042.1626,4716147,5.23133614174428
CRI,Costa Rica,2014,10911.4978703456,31.362915449766,16313862317.0245,4767119,4.51920098516954
